Id,T_AB,Veloc,Largo,Desviacion,Categ
0,0.226,63,517,1.21,2
1,0.194,74,1045,0.9,6
2,0.223,64,509,1.26,1
3,0.167,86,439,0.87,1
4,0.177,81,498,0.82,2
5,0.183,78,426,0.89,1
6,0.224,64,467,1.33,1
7,0.213,67,863,0.43,4
8,0.188,76,460,1.23,1
9,0.139,103,523,1.5,1
10,0.153,94,467,1.17,1
11,0.188,76,1467,0.45,5
12,0.177,81,2029,0.76,5
13,0.188,76,616,0.63,4
14,0.189,76,505,1.21,1
16,0.247,58,483,0.85,2
0,0.179,80,484,0.66,2
1,0.279,51,491,1.39,1
2,0.306,47,659,0.59,4
3,0.178,80,445,1.2,1
4,0.121,118,457,0.48,2
7,0.272,52,521,0.92,2
8,0.37,38,510,0.81,2
9,0.18,80,472,1.16,1
10,0.188,76,503,1.2,1
11,0.275,52,1696,0.51,5
12,0.183,78,506,1.49,1
13,0.145,99,410,1.01,1
14,0.181,79,465,0.77,2
15,0.196,73,457,1.12,1
16,0.17,84,428,1.33,1
17,0.249,57,692,0.52,4
18,0.288,49,648,0.62,4
19,0.207,69,460,1.2,1
20,0.194,74,469,1.37,1
21,0.184,78,429,0.88,1
22,0.169,85,434,1.05,1
23,0.198,72,517,1.3,1
24,0.195,73,483,1.4,1
25,0.209,69,540,0.9,2
26,0.202,71,504,0.89,2
27,0.294,48,542,1.3,3
28,0.271,53,538,0.38,4
29,0.104,138,564,0.84,2
30,0.146,98,482,1.29,1
31,0.148,97,459,1.32,1
32,0.183,78,784,0.71,4
37,0.223,64,830,0.51,4
40,0.253,56,452,1.19,1
41,0.112,128,477,1.22,1
42,0.166,86,805,0.44,4
43,0.18,79,435,1,1
44,0.195,74,472,1.15,1
45,0.148,97,509,1.27,1
46,0.2,72,510,1.23,1
49,0.188,76,543,1.19,3
50,0.151,95,442,1.18,1
51,0.248,58,768,0.46,4
52,0.227,63,456,1.23,1
53,0.183,78,499,1.35,1
54,0.157,91,528,1.41,1
55,0.251,57,510,0.87,2
56,0.216,66,492,1.21,1
57,0.178,81,546,0.87,2
58,0.173,83,453,1.15,1
59,0.177,81,500,1.03,2
